protein	pval
9606.ENSP00000013070	0.0
9606.ENSP00000045083	0.0
9606.ENSP00000064780	0.0
9606.ENSP00000072869	0.0
9606.ENSP00000080059	0.0
9606.ENSP00000155926	0.0
9606.ENSP00000161006	0.0
9606.ENSP00000173898	0.0
9606.ENSP00000200652	0.0
9606.ENSP00000204604	0.0
9606.ENSP00000207549	0.0
9606.ENSP00000215659	0.0
9606.ENSP00000216218	0.0
9606.ENSP00000217244	0.0
9606.ENSP00000217971	0.0
9606.ENSP00000218388	0.0
9606.ENSP00000219919	0.0
9606.ENSP00000222254	0.0
9606.ENSP00000222803	0.0
9606.ENSP00000223145	0.0
9606.ENSP00000225474	0.0
9606.ENSP00000225726	0.0
9606.ENSP00000225792	0.0
9606.ENSP00000226279	0.0
9606.ENSP00000227266	0.0
9606.ENSP00000229264	0.0
9606.ENSP00000230321	0.0
9606.ENSP00000232978	0.0
9606.ENSP00000233154	0.0
9606.ENSP00000233735	0.0
9606.ENSP00000234454	0.0
9606.ENSP00000234831	0.0
9606.ENSP00000236040	0.0
9606.ENSP00000237642	0.0
9606.ENSP00000238738	0.0
9606.ENSP00000241051	0.0
9606.ENSP00000242719	0.0
9606.ENSP00000243389	0.0
9606.ENSP00000243611	0.0
9606.ENSP00000243644	0.0
9606.ENSP00000243924	0.0
9606.ENSP00000244565	0.0
9606.ENSP00000244709	0.0
9606.ENSP00000245564	0.0
9606.ENSP00000245960	0.0
9606.ENSP00000246006	0.0
9606.ENSP00000248901	0.0
9606.ENSP00000249344	0.0
9606.ENSP00000250160	0.0
9606.ENSP00000250896	0.0
9606.ENSP00000253110	0.0
9606.ENSP00000255136	0.0
9606.ENSP00000255409	0.0
9606.ENSP00000255499	0.0
9606.ENSP00000255977	0.0
9606.ENSP00000256196	0.0
9606.ENSP00000256398	0.0
9606.ENSP00000257264	0.0
9606.ENSP00000257548	0.0
9606.ENSP00000258436	0.0
9606.ENSP00000258534	0.0
9606.ENSP00000260227	0.0
9606.ENSP00000260402	0.0
9606.ENSP00000261226	0.0
9606.ENSP00000261233	0.0
9606.ENSP00000261367	0.0
9606.ENSP00000261407	0.0
9606.ENSP00000261464	0.0
9606.ENSP00000261593	0.0
9606.ENSP00000261622	0.0
9606.ENSP00000261867	0.0
9606.ENSP00000262053	0.0
9606.ENSP00000262238	0.0
9606.ENSP00000262394	0.0
9606.ENSP00000263056	0.0
9606.ENSP00000263094	0.0
9606.ENSP00000263196	0.0
9606.ENSP00000263671	0.0
9606.ENSP00000263773	0.0
9606.ENSP00000263856	0.0
9606.ENSP00000264005	0.0
9606.ENSP00000264246	0.0
9606.ENSP00000264399	0.0
9606.ENSP00000264414	0.0
9606.ENSP00000264538	0.0
9606.ENSP00000264638	0.0
9606.ENSP00000264828	0.0
9606.ENSP00000264990	0.0
9606.ENSP00000265350	0.0
9606.ENSP00000265565	0.0
9606.ENSP00000265686	0.0
9606.ENSP00000266022	0.0
9606.ENSP00000266069	0.0
9606.ENSP00000267803	0.0
9606.ENSP00000268711	0.0
9606.ENSP00000269143	0.0
9606.ENSP00000270879	0.0
9606.ENSP00000271620	0.0
9606.ENSP00000271651	0.0
9606.ENSP00000272895	0.0
9606.ENSP00000273179	0.0
9606.ENSP00000273963	0.0
9606.ENSP00000274963	0.0
9606.ENSP00000278505	0.0
9606.ENSP00000278935	0.0
9606.ENSP00000279024	0.0
9606.ENSP00000279281	0.0
9606.ENSP00000279441	0.0
